name,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,loc,numParameters,numAttr,numMethods,setters,getters,isCollection,isAbstractClass,numWordName,isOrEr,isController,numImports,numOutboundInv,numIfs,isClassRes
RTCircularTreeMapExample,private,1,10,10,567,0,0,11,0,0,false,false,5,false,false,9,69,2,true
RTCircularTreeMapTest,private,0,1,1,21,0,0,1,0,0,false,false,5,false,false,5,12,1,true
RTCityBuilder,public,14,2,2,84,9,6,16,2,2,false,false,3,true,false,7,29,3,true
RTClickStateInteraction,private,4,2,3,25,7,0,7,0,0,false,false,4,false,false,3,5,1,true
RTClipBox,public,1,0,0,7,0,0,1,0,0,false,false,3,false,false,3,0,0,true
RTClusterLayout,public,4,1,1,66,4,3,5,0,0,false,false,3,false,false,5,32,4,true
RTCollectionExtensionTest,private,0,2,2,11,0,0,2,0,0,false,false,4,false,false,2,5,0,true
RTCollision,private,3,4,4,49,6,2,7,1,2,false,false,2,false,false,3,20,1,true
RTColorFadingLegendItem,public,4,0,0,30,2,2,4,1,2,false,false,5,false,false,7,15,0,true
RTColorInterpolator,public,7,2,2,36,5,0,9,0,2,false,false,3,true,false,4,23,1,true
RTColorLegendItem,public,7,0,0,26,3,3,7,3,2,false,false,4,false,false,6,8,0,true
RTColorPalette,public,15,6,6,171,12,0,21,0,0,false,false,3,false,false,22,90,1,true
RTColorPaletteExample,public,2,7,7,222,0,0,9,0,0,false,false,4,false,false,17,33,0,true
RTColorPaletteTest,private,0,4,4,50,0,0,4,0,0,false,false,4,false,false,5,15,0,true
RTColorTransitionAnimation,public,4,0,0,27,3,2,4,0,0,false,false,4,false,false,5,15,0,true
RTColoredTextLegendItem,private,5,0,0,16,2,2,5,2,2,false,false,5,false,false,3,3,0,true
RTComparison,public,5,0,0,21,6,3,5,3,0,false,false,2,false,false,3,5,0,true
RTComposedShapeExample,public,2,15,15,413,0,0,17,0,0,false,false,4,false,false,24,112,0,true
RTComposer,public,26,6,6,223,29,7,32,2,3,false,false,2,true,false,13,87,3,true
RTComposerExample,public,2,7,7,492,0,0,9,0,0,false,false,3,false,false,14,159,0,true
RTComposerTest,private,1,18,18,401,0,2,19,0,0,false,false,3,false,false,18,199,0,true
RTCompositeElementAttachPoint,private,2,0,0,9,2,0,2,0,0,false,false,5,false,false,2,6,0,true
RTCompositeShape,public,29,1,1,203,25,4,30,1,0,false,false,3,false,false,12,43,3,true
RTCompositeShapeTest,private,0,21,21,309,0,0,21,0,0,false,false,4,false,false,17,283,0,true
RTCompoundElement,public,7,2,2,36,4,2,9,0,0,false,false,3,false,false,5,7,0,true
RTCompoundElementTest,private,0,4,4,51,0,0,4,0,0,false,false,4,false,false,6,28,0,true
RTConditionalLayout,public,7,3,3,41,5,4,10,4,4,false,false,3,false,false,6,5,1,true
RTConditionalLayoutTest,private,0,1,1,19,0,0,1,0,0,false,false,4,false,false,9,17,1,true
RTConditionalShape,private,5,0,0,20,4,1,5,1,1,false,false,3,false,false,2,3,0,true
